node,conceptualized_node,node_type
"Laboratory test report(s), MSDS, self-declaration letter and production documentation | +10 | 4.3.1 (page 8) |","documentation, compliance, safety, reporting, verification",event
"In this Standard, the U-value of the single, double or tripled glazing products shall meet the requirements.","energy efficiency, insulation, building standards, thermal performance",event
"Verification Documentation related to the above product information and instructions, web pages and any other information freely available to customers or the public.","verification, documentation, information, accessibility, transparency",event
There is a requirement for valid certification of ISO14001 or the EU Eco-Management and Audit Scheme (EMAS).,"compliance, certification, regulation, sustainability, standards",event
"It aims to help consumers, building professionals and policy makers identify environmentally preferable building materials and products.","sustainability, eco-friendly, guidance, construction, innovation",event
Compliance with the criteria mentioned above.,"requirements, adherence, conformity, guidelines",event
"The technology adopted enable the glazing product to reduce resources used in energy, such as lighting, e.g. instantly reactive glazing technology that changes the glass from clear to a dark blue tint, self tinted glass, etc.","innovation, sustainability, efficiency, conservation, adaptation",event
Product packaging shall not contain halogenated plastics.,"sustainability, materials, regulation, packaging, environment",event
"Instructions on how the product shall be installed, adjusted and protected in a sustainable manner, in order to prevent heat loss as a result of poor installation.","installation, guidance, sustainability, efficiency, protection",event
Primary packaging materials are usually in direct contact with the contents.,"protection, containment, interaction, barrier, preservation",event
The company is not eligible for a 'Green' Label under this product category.,"sustainability, certification, compliance, environment, standards",event
"The technology adopted enables the glazing product to reduce resources used in energy, such as lighting.","sustainability, innovation, efficiency, conservation, technology",event
"The glazing product shall not contain any carcinogenic substances or chemicals that are classified by the International Agency for Research on Cancer (IARC) in Group 1, 2A or 2B.","safety, regulation, compliance, health, standards",event
"Common types of glazing being used in architectural applications include clear and tinted float glass, tempered glass, and laminated glass as well as a variety of coated glasses, etc","glazing, architecture, construction, materials, innovation",event
The overall heat transfer coefficient or U-value measures how well a glazing product transfer heat.,"insulation, efficiency, thermal performance, energy transfer",event
The Gold grade requires 80 - 89 points.,"grading, evaluation, assessment, achievement, qualification",event
"Bonus points may be awarded for meeting ""Non-core Criteria"".","incentive, reward, motivation, achievement, criteria",event
The Hong Kong Laboratory Accreditation Scheme is involved in the laboratory testing process.,"accreditation, quality assurance, standardization, compliance, evaluation",event
The document requires product information to be provided on the packaging of the product and/or company website.,"compliance, transparency, marketing, information, regulation",event
Verification Documentation describing the extra environmental features adopted as well as the product functions generated by the technology.,"verification, documentation, sustainability, innovation, compliance",event
The product packaging shall not contain halogenated plastics.,"sustainability, regulation, prohibition, compliance, packaging",event
"The purposes of the assessment criteria developed for glazing are, therefore, to promote the use of energy-efficient building envelop, and to minimise the environmental impact.","sustainability, efficiency, innovation, conservation, development",event
A product obtains 60 to 69 points.,"evaluation, rating, scoring, assessment, mid-range",event
The company does not meet all minimum requirements laid down in the 'Core Criteria'.,"noncompliance, deficiency, shortfall, inadequacy, failure",event
"Laboratory test report(s) on the SC, SHGC, external reflectance and VLT of the glazing product are required.","testing, evaluation, analysis, measurement, assessment",event
"The product shall not contain toxic heavy metals, or ingredients containing heavy metals.","safety, compliance, regulation, health, standards",event
"Energy management policies, procedures and programmes are written or signed by the Chief Executive Officer or other authorised representative of the Applicant.","policy development, leadership, authorization, compliance, governance",event
The technology adopted in the glazing manufacturing can enable the glazing products to reduce resources used in energy.,"innovation, sustainability, efficiency, conservation, technology integration",event
The manufacturer of the product shall have an energy management programme.,"sustainability, efficiency, regulation, conservation, management",event
The Standard neither modifies nor supersedes laws and regulations.,"conformity, regulation, compliance, governance, legality",event
The document is copyrighted by the Construction Industry Council.,"copyright, ownership, protection, authorization, licensing",event
"The product shall not contain organotin compounds, phthalates, or polybrominated diphenyl ethers (PBDEs), and be classified as harmful, toxic, or very toxic in accordance with EU Directives 2001/59/EC.","safety, regulation, compliance, chemicals, restriction",event
Product information must be provided on packaging or the company website.,"labeling, transparency, compliance, marketing, communication",event
The company has less than 50 points.,"underperformance, shortfall, deficit, setback, challenge",event
"Energy management policies, procedures and programmes are written or signed by Chief Executive Officer or other authorised representative of the Applicant.","policy development, energy management, authorization, governance, leadership",event
Provide product information on the packaging of the product and/or company website.,"information, marketing, transparency, communication, accessibility",event
The thermal insulation performance of the product should meet certain requirements.,"performance, requirements, testing, insulation, standards",event
The assessment criteria specify performance limits for energy efficiency.,"standards, evaluation, efficiency, sustainability, benchmarking",event
The product is awarded a 'Platinum' grade.,"recognition, achievement, excellence, accolade, distinction",event
The following requirements are applicable to tinted glazing product only.,"specifications, guidelines, regulations, restrictions, compliance",event
A Bronze grade is awarded for 60 to 69 points.,"achievement, grading, recognition, evaluation, scoring",event
The Glazing (Version 1.0a) assessment standard was established.,"standardization, regulation, evaluation, criteria, benchmarking",event
the product shall not contain any carcinogenic substances or chemicals.,"safety, regulation, health, compliance, protection",event
"The product shall not contain chlorinated or brominated paraffins, and filler gases with 100-year global warming potential (GWP100) greater than 5 shall not be used in the insulating units.","sustainability, environmental impact, product standards, eco-friendly, compliance",event
"Product shall NOT contain: Substances listed in IARC Group 1, 2A and 2B ≥ 0.1% by weight of the product","safety, compliance, regulation, restriction",event
"Care instructions should contain details on how often the product should be checked and maintained, and what surface treatment is recommended.","maintenance, instructions, care, guidelines, upkeep",event
A product obtains below 50 points.,"failure, underperformance, disappointment, shortfall, inadequacy",event
The Standard sets out the assessment criteria and their benchmarks for glazing products.,"standards, criteria, benchmarking, evaluation, guidelines",event
Visible light transmittance performance must meet specific VLT percentages.,"optics, measurement, standards, transparency, compliance",event
No Label is given for below 50 points.,"grading, evaluation, assessment, scoring",event
The product information should include recommended maintenance for the product.,"guidelines, instructions, upkeep, care, maintenance",event
They shall be in the minimal amount of distribution and/or use as they may eventually be disposed by the consumers.,"consumption, waste, disposal, reduction, sustainability",event
Verification Laboratory test report(s) for all relevant quality and performance tests.,"testing, validation, assessment, analysis, quality control",event
The English version shall prevail in case of inconsistency or ambiguity between the English version and the Chinese version.,"precedence, clarity, language, interpretation, dominance",event
A product obtains 50 to 59 points.,"average score, evaluation, assessment, rating, performance",event
Product shall NOT contain organotin compounds.,"regulation, safety, compliance, restriction, prohibition",event
