:START_ID,:END_ID,:TYPE
Construction Industry Council,9d770c7af031c6fdf2c393f35988688d72f2c4d538bb31dcde24859e3e3d1824,Source
logo,9d770c7af031c6fdf2c393f35988688d72f2c4d538bb31dcde24859e3e3d1824,Source
copyright,9d770c7af031c6fdf2c393f35988688d72f2c4d538bb31dcde24859e3e3d1824,Source
green product certification,9d770c7af031c6fdf2c393f35988688d72f2c4d538bb31dcde24859e3e3d1824,Source
Glazing,9d770c7af031c6fdf2c393f35988688d72f2c4d538bb31dcde24859e3e3d1824,Source
assessment standard,9d770c7af031c6fdf2c393f35988688d72f2c4d538bb31dcde24859e3e3d1824,Source
Product Information,9d770c7af031c6fdf2c393f35988688d72f2c4d538bb31dcde24859e3e3d1824,Source
installation instructions,9d770c7af031c6fdf2c393f35988688d72f2c4d538bb31dcde24859e3e3d1824,Source
U-value,9d770c7af031c6fdf2c393f35988688d72f2c4d538bb31dcde24859e3e3d1824,Source
solar heat gain coefficient,9d770c7af031c6fdf2c393f35988688d72f2c4d538bb31dcde24859e3e3d1824,Source
visible light transmittance,9d770c7af031c6fdf2c393f35988688d72f2c4d538bb31dcde24859e3e3d1824,Source
Thermal Insulation Performance,9d770c7af031c6fdf2c393f35988688d72f2c4d538bb31dcde24859e3e3d1824,Source
Shading Coefficient,9d770c7af031c6fdf2c393f35988688d72f2c4d538bb31dcde24859e3e3d1824,Source
Visible Light Transmittance,9d770c7af031c6fdf2c393f35988688d72f2c4d538bb31dcde24859e3e3d1824,Source
VLT,9d770c7af031c6fdf2c393f35988688d72f2c4d538bb31dcde24859e3e3d1824,Source
The Construction Industry Council created the CIC Green Product Certification.,9d770c7af031c6fdf2c393f35988688d72f2c4d538bb31dcde24859e3e3d1824,Source
The Glazing (Version 1.0a) assessment standard was established.,9d770c7af031c6fdf2c393f35988688d72f2c4d538bb31dcde24859e3e3d1824,Source
The Glazing assessment standard was established.,9d770c7af031c6fdf2c393f35988688d72f2c4d538bb31dcde24859e3e3d1824,Source
There was a need for a standardized assessment of glazing products.,9d770c7af031c6fdf2c393f35988688d72f2c4d538bb31dcde24859e3e3d1824,Source
The document states that no part may be reproduced without permission.,9d770c7af031c6fdf2c393f35988688d72f2c4d538bb31dcde24859e3e3d1824,Source
All rights are reserved by the Construction Industry Council.,9d770c7af031c6fdf2c393f35988688d72f2c4d538bb31dcde24859e3e3d1824,Source
The English version prevails in cases of inconsistency with the Chinese version.,9d770c7af031c6fdf2c393f35988688d72f2c4d538bb31dcde24859e3e3d1824,Source
The document explicitly states the priority of the English version.,9d770c7af031c6fdf2c393f35988688d72f2c4d538bb31dcde24859e3e3d1824,Source
Product information must be provided on packaging or the company website.,9d770c7af031c6fdf2c393f35988688d72f2c4d538bb31dcde24859e3e3d1824,Source
This is a requirement of the assessment criteria.,9d770c7af031c6fdf2c393f35988688d72f2c4d538bb31dcde24859e3e3d1824,Source
"Product information includes instructions on installation, adjustment, and protection.",9d770c7af031c6fdf2c393f35988688d72f2c4d538bb31dcde24859e3e3d1824,Source
"Product information includes U-value, solar heat gain coefficient, and visible light transmittance.",9d770c7af031c6fdf2c393f35988688d72f2c4d538bb31dcde24859e3e3d1824,Source
Documentation related to the label and relevant information is required.,9d770c7af031c6fdf2c393f35988688d72f2c4d538bb31dcde24859e3e3d1824,Source
It serves as verification for product information.,9d770c7af031c6fdf2c393f35988688d72f2c4d538bb31dcde24859e3e3d1824,Source
Thermal insulation performance requires specific U-values for glazing.,9d770c7af031c6fdf2c393f35988688d72f2c4d538bb31dcde24859e3e3d1824,Source
The assessment criteria specify performance limits for energy efficiency.,9d770c7af031c6fdf2c393f35988688d72f2c4d538bb31dcde24859e3e3d1824,Source
Laboratory test reports are required for shading coefficient verification.,9d770c7af031c6fdf2c393f35988688d72f2c4d538bb31dcde24859e3e3d1824,Source
The performance of the product must meet specific shading coefficient criteria.,9d770c7af031c6fdf2c393f35988688d72f2c4d538bb31dcde24859e3e3d1824,Source
Visible light transmittance performance must meet specific VLT percentages.,9d770c7af031c6fdf2c393f35988688d72f2c4d538bb31dcde24859e3e3d1824,Source
This ensures adequate light transmittance as per the assessment criteria.,9d770c7af031c6fdf2c393f35988688d72f2c4d538bb31dcde24859e3e3d1824,Source
"No part of this document may be reproduced, stored in a retrieval system or transmitted without permission.",9d770c7af031c6fdf2c393f35988688d72f2c4d538bb31dcde24859e3e3d1824,Source
document,9d770c7af031c6fdf2c393f35988688d72f2c4d538bb31dcde24859e3e3d1824,Source
retrieval system,9d770c7af031c6fdf2c393f35988688d72f2c4d538bb31dcde24859e3e3d1824,Source
permission,9d770c7af031c6fdf2c393f35988688d72f2c4d538bb31dcde24859e3e3d1824,Source
The English version shall prevail in case of inconsistency or ambiguity between the English version and the Chinese version.,9d770c7af031c6fdf2c393f35988688d72f2c4d538bb31dcde24859e3e3d1824,Source
English version,9d770c7af031c6fdf2c393f35988688d72f2c4d538bb31dcde24859e3e3d1824,Source
Chinese version,9d770c7af031c6fdf2c393f35988688d72f2c4d538bb31dcde24859e3e3d1824,Source
Provide product information on the packaging of the product and/or company website.,9d770c7af031c6fdf2c393f35988688d72f2c4d538bb31dcde24859e3e3d1824,Source
product,9d770c7af031c6fdf2c393f35988688d72f2c4d538bb31dcde24859e3e3d1824,Source
packaging,9d770c7af031c6fdf2c393f35988688d72f2c4d538bb31dcde24859e3e3d1824,Source
company website,9d770c7af031c6fdf2c393f35988688d72f2c4d538bb31dcde24859e3e3d1824,Source
"Provide instructions on the installation, adjustment, and protection of the product.",9d770c7af031c6fdf2c393f35988688d72f2c4d538bb31dcde24859e3e3d1824,Source
"Provide U-value, solar heat gain coefficient, and visible light transmittance.",9d770c7af031c6fdf2c393f35988688d72f2c4d538bb31dcde24859e3e3d1824,Source
Provide recommended maintenance for the product.,9d770c7af031c6fdf2c393f35988688d72f2c4d538bb31dcde24859e3e3d1824,Source
Provide details related to the end of service life of the product.,9d770c7af031c6fdf2c393f35988688d72f2c4d538bb31dcde24859e3e3d1824,Source
Laboratory test report(s) are required on the U-value of the entire glazing product.,9d770c7af031c6fdf2c393f35988688d72f2c4d538bb31dcde24859e3e3d1824,Source
laboratory test report(s),9d770c7af031c6fdf2c393f35988688d72f2c4d538bb31dcde24859e3e3d1824,Source
glazing product,9d770c7af031c6fdf2c393f35988688d72f2c4d538bb31dcde24859e3e3d1824,Source
Laboratory test report(s) are required on shading coefficient or solar heat gain coefficient.,9d770c7af031c6fdf2c393f35988688d72f2c4d538bb31dcde24859e3e3d1824,Source
shading coefficient,9d770c7af031c6fdf2c393f35988688d72f2c4d538bb31dcde24859e3e3d1824,Source
Laboratory test report(s) are required on daylight transmittance.,9d770c7af031c6fdf2c393f35988688d72f2c4d538bb31dcde24859e3e3d1824,Source
daylight transmittance,9d770c7af031c6fdf2c393f35988688d72f2c4d538bb31dcde24859e3e3d1824,Source
Manufacturer,a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
effective energy management policies,a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
energy management programme,a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
Energy management programme,a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
initiatives to reduce energy use,a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
initiatives for suppliers or contract manufacturers,a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
Environmental Management System,a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
ISO14001 or EMAS certification,a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
ISO14001 or EMAS,a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
accredited certification body,a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
Product packaging,a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
halogenated plastics,a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
Packaging materials,a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
100% recycled or readily recyclable,a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
Technology,a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
reduction of resources used,a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
Glazing product,a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
self-cleaning glass or reactive glazing technology,a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
Product,a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
"quality, safety, air leakage requirements",a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
10-year guarantee,a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
Glazing products,a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
"substances listed in IARC Group 1, 2A and 2B ≥ 0.1% by weight",a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
organotin compounds,a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
phthalates or polybrominated diphenylethers,a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
The manufacturer of the product shall have effective energy management policies and procedures.,a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
Initiatives taken to reduce energy use and improve energy efficiency.,a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
Initiatives or requirements for suppliers or contract manufacturers.,a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
The product packaging shall not contain halogenated plastics.,a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
All packaging materials shall be either comprised of 100% recycled material or readily recyclable.,a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
The technology adopted enables the glazing product to reduce resources used in maintenance.,a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
"The technology adopted enables the glazing product to reduce resources used in energy, such as lighting.",a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
