:START_ID,:END_ID,relation,concepts,synsets,:TYPE
Construction Industry Council,logo,features,[],[],Relation
Construction Industry Council,copyright,holds,[],[],Relation
Construction Industry Council,green product certification,provides,[],[],Relation
Glazing,assessment standard,has,[],[],Relation
Product Information,installation instructions,includes,[],[],Relation
Product Information,U-value,includes,[],[],Relation
Product Information,solar heat gain coefficient,includes,[],[],Relation
Product Information,visible light transmittance,includes,[],[],Relation
Thermal Insulation Performance,U-value,requires,[],[],Relation
Shading Coefficient,solar heat gain coefficient,requires,[],[],Relation
Visible Light Transmittance,VLT,requires,[],[],Relation
The Construction Industry Council created the CIC Green Product Certification.,The Glazing (Version 1.0a) assessment standard was established.,before,[],[],Relation
The Glazing assessment standard was established.,There was a need for a standardized assessment of glazing products.,because,[],[],Relation
The document states that no part may be reproduced without permission.,All rights are reserved by the Construction Industry Council.,as a result,[],[],Relation
The English version prevails in cases of inconsistency with the Chinese version.,The document explicitly states the priority of the English version.,because,[],[],Relation
Product information must be provided on packaging or the company website.,This is a requirement of the assessment criteria.,because,[],[],Relation
"Product information includes instructions on installation, adjustment, and protection.","Product information includes U-value, solar heat gain coefficient, and visible light transmittance.",at the same time,[],[],Relation
Documentation related to the label and relevant information is required.,It serves as verification for product information.,because,[],[],Relation
Thermal insulation performance requires specific U-values for glazing.,The assessment criteria specify performance limits for energy efficiency.,because,[],[],Relation
Laboratory test reports are required for shading coefficient verification.,The performance of the product must meet specific shading coefficient criteria.,because,[],[],Relation
Visible light transmittance performance must meet specific VLT percentages.,This ensures adequate light transmittance as per the assessment criteria.,because,[],[],Relation
"No part of this document may be reproduced, stored in a retrieval system or transmitted without permission.",document,is participated by,[],[],Relation
"No part of this document may be reproduced, stored in a retrieval system or transmitted without permission.",retrieval system,is participated by,[],[],Relation
"No part of this document may be reproduced, stored in a retrieval system or transmitted without permission.",permission,is participated by,[],[],Relation
"No part of this document may be reproduced, stored in a retrieval system or transmitted without permission.",Construction Industry Council,is participated by,[],[],Relation
The English version shall prevail in case of inconsistency or ambiguity between the English version and the Chinese version.,English version,is participated by,[],[],Relation
The English version shall prevail in case of inconsistency or ambiguity between the English version and the Chinese version.,Chinese version,is participated by,[],[],Relation
Provide product information on the packaging of the product and/or company website.,product,is participated by,[],[],Relation
Provide product information on the packaging of the product and/or company website.,packaging,is participated by,[],[],Relation
Provide product information on the packaging of the product and/or company website.,company website,is participated by,[],[],Relation
"Provide instructions on the installation, adjustment, and protection of the product.",product,is participated by,[],[],Relation
"Provide U-value, solar heat gain coefficient, and visible light transmittance.",U-value,is participated by,[],[],Relation
"Provide U-value, solar heat gain coefficient, and visible light transmittance.",solar heat gain coefficient,is participated by,[],[],Relation
"Provide U-value, solar heat gain coefficient, and visible light transmittance.",visible light transmittance,is participated by,[],[],Relation
Provide recommended maintenance for the product.,product,is participated by,[],[],Relation
Provide details related to the end of service life of the product.,product,is participated by,[],[],Relation
Laboratory test report(s) are required on the U-value of the entire glazing product.,laboratory test report(s),is participated by,[],[],Relation
Laboratory test report(s) are required on the U-value of the entire glazing product.,U-value,is participated by,[],[],Relation
Laboratory test report(s) are required on the U-value of the entire glazing product.,glazing product,is participated by,[],[],Relation
